dma_count,channel_count,message_count,chagroup_count,sales_count,a,b,npv,sp_current,npv_p,bdgt_id,dma_name,channel_name,message_name,chagroup_name,sales_name,clv,all_count,all_name,cpp
1,1,1,1,1,305791.4444,6.04E-07,191067.9156,1622693.909,188513.0801,1_1_1_1,National,TV,Brand,TV,Small Business,481,1,1,1
1,1,1,1,10,261339.3013,5.20E-07,148912.2539,1622693.909,145793.2999,1_1_1_1,National,TV,Brand,TV,Traditional Saving,0.026,1,1,1
1,1,1,1,11,5473.070334,4.57E-07,2867.831817,1622693.909,2805.50669,1_1_1_1,National,TV,Brand,TV,ME - FAC,989,1,1,1
1,1,1,1,12,129823.9544,3.98E-07,61804.10973,1622693.909,61140.49374,1_1_1_1,National,TV,Brand,TV,ME - Self Directed,848,1,1,1
1,1,1,1,2,16268.96349,6.67E-07,10758.90564,1622693.909,10683.62072,1_1_1_1,National,TV,Brand,TV,Savings,182.86,1,1,1
1,1,1,1,4,39185.51201,6.67E-07,25913.95734,1622693.909,25732.62568,1_1_1_1,National,TV,Brand,TV,Checking (DDA),176,1,1,1
1,1,1,1,5,12768.28124,3.98E-07,6078.479571,1622693.909,6013.212454,1_1_1_1,National,TV,Brand,TV,Deposit Transaction,0.93,1,1,1
1,1,1,1,6,63133.85987,3.98E-07,30055.5627,1622693.909,29732.84383,1_1_1_1,National,TV,Brand,TV,Withdrawal Transaction,0.114,1,1,1
1,1,1,1,7,292122.3587,6.04E-07,214737.7055,1622693.909,211866.373,1_1_1_1,National,TV,Brand,TV,RSV,0.00928,1,1,1
1,1,1,1,8,77727.89164,6.67E-07,51402.60176,1622693.909,51042.91455,1_1_1_1,National,TV,Brand,TV,Retention,314.765,1,1,1
1,1,2,1,6,168754.793,2.99E-07,54348.49161,1635516.929,53078.93178,1_1_2_1,National,TV,Card,TV,Withdrawal Transaction,0.114,1,1,1
1,1,2,1,7,204691.5922,3.37E-06,199870.6712,1635516.929,200825.3267,1_1_2_1,National,TV,Card,TV,RSV,0.00928,1,1,1
1,1,2,1,8,400041.0809,1.13E-06,280965.7675,1635516.929,281742.4084,1_1_2_1,National,TV,Card,TV,Retention,314.765,1,1,1
1,1,3,1,1,294915.7018,7.00E-06,293430.2344,755539.075,294840.696,1_1_3_1,National,TV,Diff Con,TV,Small Business,481,1,1,1
1,1,3,1,10,449157.6822,1.03E-06,242641.6912,755539.075,242621.6372,1_1_3_1,National,TV,Diff Con,TV,Traditional Saving,0.026,1,1,1
1,1,3,1,2,60843.87174,1.82E-06,45515.87009,755539.075,45402.74707,1_1_3_1,National,TV,Diff Con,TV,Savings,182.86,1,1,1
1,1,3,1,4,136298.8965,1.82E-06,101962.0003,755539.075,101708.5887,1_1_3_1,National,TV,Diff Con,TV,Checking (DDA),176,1,1,1
1,1,3,1,5,23254.82914,1.42E-06,15303.99661,755539.075,15126.58056,1_1_3_1,National,TV,Diff Con,TV,Deposit Transaction,0.93,1,1,1
1,1,3,1,6,16173.17602,1.76E-06,11898.92444,755539.075,11855.38816,1_1_3_1,National,TV,Diff Con,TV,Withdrawal Transaction,0.114,1,1,1
1,1,3,1,8,732477.4262,4.22E-06,702272.3542,755539.075,707779.8129,1_1_3_1,National,TV,Diff Con,TV,Retention,314.765,1,1,1
1,1,3,1,9,1139653.157,1.03E-06,615657.6641,755539.075,615606.7807,1_1_3_1,National,TV,Diff Con,TV,MMS,0.036,1,1,1
1,1,4,1,11,364106.6488,7.90E-06,364067.2927,1156215.741,364301.5839,1_1_4_1,National,TV,ME,TV,ME - FAC,989,1,1,1
1,1,4,1,12,476166.505,1.93E-05,476166.505,1156215.741,476146.154,1_1_4_1,National,TV,ME,TV,ME - Self Directed,848,1,1,1
1,1,4,1,8,67913.17603,9.22E-06,67911.58993,1156215.741,67911.39723,1_1_4_1,National,TV,ME,TV,Retention,314.765,1,1,1
1,2,1,2,1,84389.51104,7.58E-07,11356.41359,190727.6029,11144.52372,1_2_1_2,National,Print,Brand,Print,Small Business,481,1,1,1
1,2,1,2,2,8766.350595,2.76E-06,3586.014398,190727.6029,3536.482715,1_2_1_2,National,Print,Brand,Print,Savings,182.86,1,1,1
1,2,1,2,4,24346.94977,2.76E-06,9959.504998,190727.6029,9821.939758,1_2_1_2,National,Print,Brand,Print,Checking (DDA),176,1,1,1
1,2,1,2,5,5309.078857,7.58E-07,714.450108,190727.6029,701.119778,1_2_1_2,National,Print,Brand,Print,Deposit Transaction,0.93,1,1,1
1,2,1,2,6,26251.19494,7.58E-07,3532.659732,190727.6029,3466.746787,1_2_1_2,National,Print,Brand,Print,Withdrawal Transaction,0.114,1,1,1
1,2,1,2,7,329834.66,1.16E-06,76947.0431,190727.6029,74599.10188,1_2_1_2,National,Print,Brand,Print,RSV,0.00928,1,1,1
1,2,1,2,8,382886.0198,2.42E-07,17244.57823,190727.6029,16921.69861,1_2_1_2,National,Print,Brand,Print,Retention,314.765,1,1,1
1,2,4,2,11,294878.5684,4.63E-06,129985.5027,125664.8297,128379.4238,1_2_4_2,National,Print,ME,Print,ME - FAC,989,1,1,1
1,2,4,2,12,68545.37435,4.63E-06,30215.50527,125664.8297,29842.16753,1_2_4_2,National,Print,ME,Print,ME - Self Directed,848,1,1,1
1,2,4,2,8,13877.55668,6.04E-06,7381.060545,125664.8297,7197.404658,1_2_4_2,National,Print,ME,Print,Retention,314.765,1,1,1
1,3,1,3,5,2836.11921,3.29E-05,2836.11921,757122.4533,2836.10891,1_3_1_3,National,Radio,Brand,Radio,Deposit Transaction,0.93,1,1,1
1,3,1,3,6,14023.43427,3.29E-05,14023.43427,757122.4533,14023.38334,1_3_1_3,National,Radio,Brand,Radio,Withdrawal Transaction,0.114,1,1,1
1,3,1,3,7,216805.7167,7.10E-05,255065.549,757122.4533,255065.5455,1_3_1_3,National,Radio,Brand,Radio,RSV,0.00928,1,1,1
1,3,2,3,6,13711.41525,3.88E-06,8805.294954,264979,8720.315234,1_3_2_3,National,Radio,Card,Radio,Withdrawal Transaction,0.114,1,1,1
1,4,2,4,6,12083.25639,5.62E-06,9765.711113,293880.9408,9777.996927,1_4_2_4,National,OOH,Card,OOH,Withdrawal Transaction,0.114,1,1,1
1,4,4,4,8,3330.636719,3.22E-05,2471.937917,42085.50458,2465.518467,1_4_4_4,National,OOH,ME,OOH,Retention,314.765,1,1,1
1,5,1,5,1,60890.74382,2.89E-05,60832.72916,240502.3779,60894.05506,1_5_1_5,National,Display,Brand,Online,Small Business,481,1,1,1
1,5,1,5,2,48906.52481,1.63E-05,47927.30452,240502.3779,48345.47104,1_5_1_5,National,Display,Brand,Online,Savings,182.86,1,1,1
1,5,1,5,4,118861.17,1.63E-05,116481.298,240502.3779,117497.5992,1_5_1_5,National,Display,Brand,Online,Checking (DDA),176,1,1,1
