"dma1_id","chan1_id","sales1_id","chan2_id","a","b","npv","sp","npv_p","bdgt_id","dma1_name","chan1_name","sales1_name","chan2_name","dim"
1,1,1,1,2967.11004778617,5.45941631011957e-06,1032.935079,78379.72854,1031.10113320147,"1_1_1","National","Freedom","Freedom Card - New Applications","Online Display","National_Freedom_Freedom Card - New Applications_Online Display"
1,1,1,2,1800.28712977951,9.96446911646035e-06,1125.270093,98446.13958,1108.45112814521,"1_1_2","National","Freedom","Freedom Card - New Applications","Online Video","National_Freedom_Freedom Card - New Applications_Online Video"
1,1,1,3,4856.96339358875,9.14657212225402e-06,4842.589011,636601.4494,4863.17055158156,"1_1_3","National","Freedom","Freedom Card - New Applications","Television","National_Freedom_Freedom Card - New Applications_Television"
1,1,1,7,12852.712297324,1.15649510590268e-06,10769.61992,1573462.217,10803.1740804512,"1_1_7","National","Freedom","Freedom Card - New Applications","Direct Mail","National_Freedom_Freedom Card - New Applications_Direct Mail"
1,1,1,8,379.159820744549,7.0981543149514e-05,206.5986494,11090.29167,202.401131989533,"1_1_8","National","Freedom","Freedom Card - New Applications","Magazine","National_Freedom_Freedom Card - New Applications_Magazine"
1,1,1,9,417114.83,5.23002078680649e-06,417114.83,8584605.684,416947.210369177,"1_1_9","National","Freedom","Freedom Card - New Applications","Affiliates","National_Freedom_Freedom Card - New Applications_Affiliates"
1,1,3,3,1482.44648486372,1.7080963818991e-06,982.7142624,636601.4494,975.234969524789,"1_1_3","National","Freedom","Slate Card - New Applications","Television","National_Freedom_Slate Card - New Applications_Television"
1,1,4,3,979.403478757681,1.68071357015197e-06,643.4411636,636601.4494,638.841247118378,"1_1_3","National","Freedom","Sapphire Card - New Applications","Television","National_Freedom_Sapphire Card - New Applications_Television"
1,2,2,1,1265.996436038,2.54744435328757e-05,1246.144089,163116.1263,1249.12851997973,"1_2_1","National","Ink","Ink Card - New Applications","Online Display","National_Ink_Ink Card - New Applications_Online Display"
1,2,2,3,668.070625504189,7.60782860610162e-06,641.5414841,424056.6208,647.51558820172,"1_2_3","National","Ink","Ink Card - New Applications","Television","National_Ink_Ink Card - New Applications_Television"
1,2,2,6,396.804279567602,4.48537517748483e-05,283.7659423,27995.78813,282.000551367857,"1_2_6","National","Ink","Ink Card - New Applications","Paid Search","National_Ink_Ink Card - New Applications_Paid Search"
1,2,2,7,3930.31600996292,5.25794897916433e-07,808.3123597,437898.5835,783.121027895501,"1_2_7","National","Ink","Ink Card - New Applications","Direct Mail","National_Ink_Ink Card - New Applications_Direct Mail"
1,2,2,9,65682.0582519262,1.76610572214476e-05,65682.05822,1214234.495,65697.3748027527,"1_2_9","National","Ink","Ink Card - New Applications","Affiliates","National_Ink_Ink Card - New Applications_Affiliates"
1,2,5,1,540.900867887637,1.89482999752754e-06,143.8125599,163116.1263,137.522935459713,"1_2_1","National","Ink","Business Checking - New Checking Accounts","Online Display","National_Ink_Business Checking - New Checking Accounts_Online Display"
1,2,5,3,296.683198635887,1.62488556783882e-06,147.7315995,424056.6208,145.055026965579,"1_2_3","National","Ink","Business Checking - New Checking Accounts","Television","National_Ink_Business Checking - New Checking Accounts_Television"
1,3,1,3,1474.16353361227,8.45489305428593e-06,1468.386498,655473.1438,1475.79613912284,"1_3_3","National","Sapphire","Freedom Card - New Applications","Television","National_Sapphire_Freedom Card - New Applications_Television"
1,3,3,1,3168.77758601787,5.1391816227852e-07,166.648619,105122.1873,162.830879140516,"1_3_1","National","Sapphire","Slate Card - New Applications","Online Display","National_Sapphire_Slate Card - New Applications_Online Display"
1,3,4,1,717.630416934836,3.56099845069197e-06,224.0850662,105122.1873,221.210786454175,"1_3_1","National","Sapphire","Sapphire Card - New Applications","Online Display","National_Sapphire_Sapphire Card - New Applications_Online Display"
1,3,4,2,726.557733030535,5.01278544736255e-06,522.4651825,253301.1617,520.262911214628,"1_3_2","National","Sapphire","Sapphire Card - New Applications","Online Video","National_Sapphire_Sapphire Card - New Applications_Online Video"
1,3,4,3,871.245673644773,3.45931510962495e-06,781.0090072,655473.1438,784.449832058137,"1_3_3","National","Sapphire","Sapphire Card - New Applications","Television","National_Sapphire_Sapphire Card - New Applications_Television"
1,3,4,7,1333.44635114436,3.08959887617477e-06,1070.797062,525861.9437,1076.55663551656,"1_3_7","National","Sapphire","Sapphire Card - New Applications","Direct Mail","National_Sapphire_Sapphire Card - New Applications_Direct Mail"
1,3,4,8,1204.9629472794,3.0142863632503e-06,321.3213922,102894.2042,308.186498937719,"1_3_8","National","Sapphire","Sapphire Card - New Applications","Magazine","National_Sapphire_Sapphire Card - New Applications_Magazine"
1,3,4,9,158654.2768,3.8091167406948e-05,158654.2768,1498713.935,158474.084904918,"1_3_9","National","Sapphire","Sapphire Card - New Applications","Affiliates","National_Sapphire_Sapphire Card - New Applications_Affiliates"
1,4,3,7,36916.4674193228,8.63153564868105e-08,5122.048042,1730479.326,5123.47372167414,"1_4_7","National","Slate","Slate Card - New Applications","Direct Mail","National_Slate_Slate Card - New Applications_Direct Mail"
1,4,3,9,412128.5786,2.27654427038831e-05,412128.5786,2678929.622,412250.657690338,"1_4_9","National","Slate","Slate Card - New Applications","Affiliates","National_Slate_Slate Card - New Applications_Affiliates"
1,5,1,3,1516.58362889693,4.19888119118377e-06,1508.737113,1253702.03,1516.45668746076,"1_5_3","National","Consumer","Freedom Card - New Applications","Television","National_Consumer_Freedom Card - New Applications_Television"
1,5,1,6,1839.10465237536,1.2464081603385e-05,1663.972242,188661.4583,1688.15873582561,"1_5_6","National","Consumer","Freedom Card - New Applications","Paid Search","National_Consumer_Freedom Card - New Applications_Paid Search"
1,5,1,7,10743.0063341708,6.85518838923318e-08,1094.518055,1567480.208,1077.27067736721,"1_5_7","National","Consumer","Freedom Card - New Applications","Direct Mail","National_Consumer_Freedom Card - New Applications_Direct Mail"
